12,0.193,0.09,0.055,0.009,0.006,0.005,0.006,0.042,0.152,0.173,0.021,0.008
10,0.05,0.032,0.071,0.084,0.062,0.031,0.029,0.093,0.128,0.022,,
9,0.438,0.262,0.283,0.198,0.05,0.051,0.186,0.053,0.092,,,
9,0.06,1.149,0.163,0.121,0.69,0.978,0.613,0.248,0.078,,,
8,0.271,0.08,0.593,1.256,1.4910001,0.239,0.072,0.657,,,,
12,0.238,0.27,0.21,0.252,0.268,0.121,0.116,0.404,0.287,0.372,0.255,0.222
9,0.336,0.235,0.188,0.007,0.002,0.019,0.156,0.018,0,,,
10,0.07,1.191,0.048,0.173,0.063,0.067,0.081,0.134,0.026,0.126,,
12,0.109,0.306,0.031,0.322,0.156,0.091,0.128,0.073,0.013,0.014,0.014,0.082
8,0.183,0.178,0.302,0.827,0.349,0.475,0.189,0.176,,,,
9,0.254,0.344,0.166,0.812,0.265,0.264,0.208,0.219,0.127,,,
11,0.731,0.235,0.595,0.06,0.064,0.272,0.21,0.13,0.054,0.063,0.055,
11,0.58,0.469,0.368,0.126,0.109,0.197,0.219,0.391,0.23,0.394,0.207,
12,0.025,0.054,0.035,0.069,0.064,0.005,0.006,0.032,0.071,0.057,0.038,0.006
10,0.133,0.158,0.152,0.107,0.063,0.114,0.129,0.046,0.059,0.155,,
11,0.071,0.071,0.062,0.18,0.569,0.658,0.623,0.645,0.94,0.542,0.078,
12,0.653,0.731,0.852,0.024,0.011,0.064,0.254,0.289,0.312,0.019,0.026,0.77
8,0.147,0.198,0.201,0.198,0.655,0.83,0.712,0.176,,,,
10,0.092,0.604,0.129,0.148,0.027,0.062,0.147,0.04,0.041,0.039,,
12,1.97,2.0450001,1.711,0.501,1.636,0.438,1.779,0.97,1.3710001,0.349,0.147,1.321
12,0.164,0.138,0.093,0.086,0.086,0.175,0.146,0.242,0.084,0.095,0.105,0.125
12,0.127,0.025,0.038,0.025,0.025,0.767,0.118,0.118,0.112,0.674,0.024,0.224
12,0.319,0.361,0.507,0.447,0.078,0.211,0.111,0.262,0.066,0.066,0.148,0.142
11,0.228,0.176,0.144,0.385,0.391,0.101,0.078,0.07,1.383,0.491,0.078,
9,0.013,0.023,0,0,0.108,0.04,0.132,0.014,0.041,,,
11,0.033,0.049,0.016,0.23,0.347,0.296,0.071,0.1,0.067,0.098,0.064,
10,0.396,0.044,0.043,0.129,0.121,0.063,0.239,0.61,0.361,0.222,,
10,0.168,0.837,0.277,0.303,0.127,0.973,0.31,0.252,0.072,0.181,,
8,0.074,0.062,0.054,0.091,0.028,0.052,0.054,0.056,,,,
12,0.21,0.145,0.057,0.11,0.058,0.084,0.165,0.941,0.167,0.043,0.079,0.057
11,1.097,0.169,0.176,0.067,0.279,0.227,0.145,0.148,0.139,0.075,0.073,
11,0.883,0.462,0.605,0.15,0.206,0.265,0.227,0.288,0.13,0.49,0.834,
12,0.147,0.851,0.162,0.167,0.169,0.153,0.632,0.209,1.438,0.164,0.089,0.069
11,0.274,0.324,0.3,0.058,0.097,0.112,0.155,0.688,0.204,0.094,0.037,
10,0.028,0.023,0.038,0.005,0.005,0.039,0.041,0.05,0.052,0.011,,
8,0.747,0.376,0.199,0.582,0.206,0.194,0.367,0.59,,,,
10,1.249,0.861,0.259,0.219,0.495,0.507,0.778,0.285,0.256,0.178,,
12,0.661,0.032,0.054,0.073,1.043,0.03,0.718,0.014,0.07,0.023,0.01,0.652
8,0.171,0.201,0.12,0.123,0.09,0.101,0.293,0.787,,,,
12,0.168,0.109,0.038,0.062,0.063,0.012,0.05,0.007,0.124,0.165,0.007,0.086
12,0.066,0.062,0.101,0.076,0.053,0.062,0.091,0.035,0.083,0.036,0.12,0.122
11,0.158,0.099,0.134,0.085,0.121,0.12,0.119,0.108,0.103,0.11,0.556,
9,1.1210001,0.497,1.029,0.76,1.013,0.746,0.602,1.357,0.9,,,
8,0.309,0.191,0.087,0.422,0.193,0.059,0.208,0.163,,,,
11,0.053,0.17,0.435,0.292,0.045,0.067,0.054,0.051,0.033,0.031,0.051,
9,0.35,0.712,0.295,0.137,0.142,0.165,0.597,0.118,0.121,,,
12,0.06,0.062,0.03,0.026,0.026,0.08,0.064,0.049,0.029,0.082,0.033,0.085
11,0.343,0.126,0.227,0.202,0.289,0.359,0.229,0.12,0.357,0.315,0.123,
10,0.371,0.171,0.188,0.201,0.441,0.247,0.167,0.498,0.169,0.14,,
10,0.415,0.362,0.224,0.071,0.109,0.187,0.293,0.119,0.248,0.114,,
12,1.716,1.628,0.387,0.369,0.134,0.609,0.625,0.99,0.66,0.122,0.952,0.164
10,0.209,1.0190001,1.1210001,0.103,0.067,0.06,0.273,0.214,0.069,0.064,,
